"ID","MOTHER.ID","CUB.D.O.B","NUMBER.CUBS","MALE","FEMALE","NUMBER.INDEP","MOTHER.AGE.MONTHS","MOTHER.AGE.CLASS","MOTHER.D.O.B","LITTER.NUMBER","CERTAINTY"
248,"Xikavi","01/05/2015",NA,NA,NA,NA,116,"ADULT_84","2005/09/01",7,"CERTAIN"
249,"Y._Female","1984/07/01",2,NA,NA,0,35,"SUBADULT","1981/08/01",1,"CERTAIN"
250,"Y._Female","1985/09/01",1,NA,NA,0,49,"ADULT_48_60","1981/08/01",2,"CERTAIN"
251,"Y._Female","1986/07/01",1,1,NA,1,59,"ADULT_48_60","1981/08/01",3,"CERTAIN"
252,"Y._Female","1987/12/01",1,NA,1,0,76,"ADULT_72_84","1981/08/01",4,"CERTAIN"
253,"Young_Nottens","2001/11/01",2,2,NA,2,36,"SUBADULT","1998/11/01",1,"CERTAIN"
254,"Young_Nottens","2004/08/01",NA,NA,NA,0,69,"ADULT_60_72","1998/11/01",2,"CERTAIN"
255,"Young_Nottens","2005/10/01",NA,NA,NA,0,83,"ADULT_72_84","1998/11/01",3,"CERTAIN"
256,"Young_Nottens","2006/11/01",2,NA,1,1,96,"ADULT_84","1998/11/01",4,"CERTAIN"
257,"Young_Nottens","2008/06/01",3,NA,NA,0,115,"ADULT_84","1998/11/01",5,"CERTAIN"
258,"Young_Nottens","2009/03/01",2,NA,NA,0,124,"ADULT_84","1998/11/01",6,"CERTAIN"
259,"Young_Nottens","2010/01/01",2,2,NA,1,134,"ADULT_84","1998/11/01",7,"CERTAIN"
260,"Young_Nottens","2012/03/01",2,NA,1,0,160,"ADULT_84","1998/11/01",8,"CERTAIN"
261,"Young_Nottens","2014/04/01",2,1,NA,0,185,"ADULT_84","1998/11/01",9,"CERTAIN"
